name,ID,Description
APA Igarapé Gelado,634,nature reserve in Brazil (APA)
APA Igarapé São Francisco,4900,nature reserve in Brazil (APA)
PES Igarapés do Juruena,3449,nature reserve in Brazil (PES)
PARNA Iguaçu,869,nature reserve in Brazil (PARNA)
PES Ilha Anchieta,969,nature reserve in Brazil (PES)
PES Ilhabela,872,nature reserve in Brazil (PES)
APA Ilha Comprida (APA),955,nature reserve in Brazil (APA)
ARIE Ilha Comprida (ARIE),956,nature reserve in Brazil (ARIE)
PES Ilha das Cobras,6066,nature reserve in Brazil (PES)
ARIE Ilha do Ameixal,1167,nature reserve in Brazil (ARIE)
PES Ilha do Cardoso,877,nature reserve in Brazil (PES)
APA Ilha do Combu,2969,nature reserve in Brazil (APA)
ESEC Ilha do Mel (ESEC),1046,nature reserve in Brazil (ESEC)
PES Ilha do Mel (PES),3187,nature reserve in Brazil (PES)
RVS Ilha dos Lobos,985,nature reserve in Brazil (RVS)
RESEX Ilha do Tumba,4936,nature reserve in Brazil (RESEX)
PARNA Ilha Grande (PARNA),1265,nature reserve in Brazil (PARNA)
PES Ilha Grande (PES),2183,nature reserve in Brazil (PES)
MONAT Ilhas Cagarras,2467,nature reserve in Brazil (MONAT)
